Name,FrontColor,BackgroundColor,BorderThick,BorderStyle,BorderColor,Sprite
AWS Cloud,$COLOR_DARK_BLUE,transparent,1,,$COLOR_DARK_BLUE,AwsCloudAlt
Region,$COLOR_LIGHT_BLUE,transparent,1,dotted,$COLOR_LIGHT_BLUE,Region
Availability Zone,$COLOR_LIGHT_BLUE,transparent,1,dashed,$COLOR_LIGHT_BLUE
Security,$COLOR_RED,transparent,1,,$COLOR_RED
Auto Scaling,$COLOR_ORANGE,transparent,1,dashed,$COLOR_ORANGE,AutoScaling
VPC,$COLOR_GREEN,transparent,1,,$COLOR_GREEN,VirtualPrivateCloudVpc
Private subnet,$COLOR_LIGHT_BLUE,$COLOR_LIGHT_BLUE_BG,0,,transparent,VpcSubnetPrivate
Public subnet,$COLOR_GREEN,$COLOR_LIGHT_BLUE_BG,0,,transparent,VpcSubnetPublic
Server contents,$COLOR_GREY,transparent,1,,$COLOR_GREY,ServerContents
Corporate data center,$COLOR_GREY,transparent,1,,$COLOR_GREY,CorporateDataCenter
Elastic Beanstalk container,$COLOR_ORANGE,transparent,1,,$COLOR_ORANGE,ElasticBeanstalkContainer
EC2 instance contents,$COLOR_ORANGE,transparent,1,,$COLOR_ORANGE,Ec2InstanceContainer
Spot Fleet,$COLOR_ORANGE,transparent,1,,$COLOR_ORANGE,SpotFleet
AWS Step Functions workflow,$COLOR_VIOLET,transparent,1,,$COLOR_VIOLET,AwsStepFunction
Generic group,$COLOR_GREY,transparent,1,dashed,$COLOR_GREY
Generic group plain,$COLOR_DARK_BLUE,$COLOR_GREY_BG,0,,transparent
