Name,FrontColor,FontColorTech,BackgroundColor,BorderThick,BorderStyle,BorderColor,Sprite
AWS Cloud,$COLOR_DARK_BLUE,$COLOR_GREY,transparent,1,solid,$COLOR_DARK_BLUE,GroupAwsCloudAlt
Region,$COLOR_LIGHT_BLUE,$COLOR_GREY,transparent,1,dotted,$COLOR_LIGHT_BLUE,GroupRegion
Availability Zone,$COLOR_LIGHT_BLUE,$COLOR_GREY,transparent,1,dashed,$COLOR_LIGHT_BLUE
Security,$COLOR_RED,$COLOR_GREY,transparent,1,SOLID,$COLOR_RED
Auto Scaling,$COLOR_ORANGE,$COLOR_GREY,transparent,1,dashed,$COLOR_ORANGE,GroupAutoScaling
VPC,$COLOR_GREEN,$COLOR_GREY,transparent,1,SOLID,$COLOR_GREEN,GroupVirtualPrivateCloudVpc
Private subnet,$COLOR_LIGHT_BLUE,$COLOR_GREY,$COLOR_LIGHT_BLUE_BG,0,SOLID,transparent,GroupVpcSubnetPrivate
Public subnet,$COLOR_GREEN,$COLOR_GREY,$COLOR_LIGHT_BLUE_BG,0,SOLID,transparent,GroupVpcSubnetPublic
Server contents,$COLOR_GREY,$COLOR_GREY,transparent,1,SOLID,$COLOR_GREY,GroupServerContents
Corporate data center,$COLOR_GREY,$COLOR_GREY,transparent,1,SOLID,$COLOR_GREY,GroupCorporateDataCenter
Elastic Beanstalk container,$COLOR_ORANGE,$COLOR_GREY,transparent,1,SOLID,$COLOR_ORANGE,GroupElasticBeanstalkContainer
EC2 instance contents,$COLOR_ORANGE,$COLOR_GREY,transparent,1,SOLID,$COLOR_ORANGE,GroupEc2InstanceContainer
Spot Fleet,$COLOR_ORANGE,$COLOR_GREY,transparent,1,SOLID,$COLOR_ORANGE,GroupSpotFleet
AWS Step Functions workflow,$COLOR_VIOLET,$COLOR_GREY,transparent,1,SOLID,$COLOR_VIOLET,GroupAwsStepFunction
Dashed,$COLOR_GREY,$COLOR_GREY,transparent,1,dashed,$COLOR_GREY
Plain,$COLOR_DARK_BLUE,$COLOR_GREY,$COLOR_GREY_BG,0,SOLID,transparent
Container Registry,$COLOR_ORANGE,$COLOR_GREY,transparent,1,SOLID,$COLOR_ORANGE,AwsEc2ContainerRegistry
Elastic Container,$COLOR_ORANGE,$COLOR_GREY,transparent,1,SOLID,$COLOR_ORANGE,AwsElasticContainer
EC Container,$COLOR_ORANGE,$COLOR_GREY,transparent,1,SOLID,$COLOR_ORANGE,AwsElasticContainerContainer
EC Service,$COLOR_ORANGE,$COLOR_GREY,transparent,1,SOLID,$COLOR_ORANGE,AwsElasticContainerService
EC Task,$COLOR_ORANGE,$COLOR_GREY,transparent,1,SOLID,$COLOR_ORANGE,AwsElasticContainerTask
Elastic Kubernetes,$COLOR_ORANGE,$COLOR_GREY,transparent,1,SOLID,$COLOR_ORANGE,AwsElasticKubernetes
