Pkg,Name,FrontColor,BackgroundColor,BorderThick,BorderStyle,BorderColor,Icon
aws,Cloud,$AWS_COLOR_DARK_BLUE,transparent,1,solid,$AWS_COLOR_DARK_BLUE,GroupIcons/AwsCloud
aws,Cloud Aws,$AWS_COLOR_DARK_BLUE,transparent,1,solid,$AWS_COLOR_DARK_BLUE,GroupIcons/AwsCloudAlt
aws,Region,$AWS_COLOR_LIGHT_BLUE,transparent,1,dotted,$AWS_COLOR_LIGHT_BLUE,GroupIcons/AwsRegion
aws,Availability Zone,$AWS_COLOR_LIGHT_BLUE,transparent,1,dashed,$AWS_COLOR_LIGHT_BLUE,
aws,Security,$AWS_COLOR_RED,transparent,1,solid,$AWS_COLOR_RED,
aws,Auto Scaling,$AWS_COLOR_ORANGE,transparent,1,dashed,$AWS_COLOR_ORANGE,GroupIcons/AwsAutoScaling
aws,VPC,$AWS_COLOR_GREEN,transparent,1,solid,$AWS_COLOR_GREEN,GroupIcons/AwsVirtualPrivateCloudVpc
aws,Private Subnet,$AWS_COLOR_LIGHT_BLUE,$AWS_COLOR_LIGHT_BLUE_BG,0,solid,none,GroupIcons/AwsVpcSubnetPrivate
aws,Public Subnet,$AWS_COLOR_GREEN,$AWS_COLOR_LIGHT_BLUE_BG,0,solid,none,GroupIcons/AwsVpcSubnetPublic
aws,Server Contents,$AWS_COLOR_GREY,transparent,1,solid,$AWS_COLOR_GREY,GroupIcons/AwsServerContents
aws,Corporate Data Center,$AWS_COLOR_GREY,transparent,1,solid,$AWS_COLOR_GREY,GroupIcons/AwsCorporateDataCenter
aws,Elastic Beanstalk Container,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,GroupIcons/AwsElasticBeanstalkContainer
aws,EC2 Instance Contents,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,GroupIcons/AwsEc2InstanceContainer
aws,Spot Fleet,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,GroupIcons/AwsSpotFleet
aws,Step Functions workflow,$AWS_COLOR_VIOLET,transparent,1,solid,$AWS_COLOR_VIOLET,GroupIcons/AwsStepFunction
aws,Dashed,$AWS_COLOR_GREY,transparent,1,dashed,$AWS_COLOR_GREY,
aws,Plain,$AWS_COLOR_DARK_BLUE,$AWS_COLOR_GREY_BG,0,solid,none,
aws,Container Registry Service,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,Compute/AwsEc2ContainerRegistry
aws,Elastic Container Service,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,Compute/AwsElasticContainerService
aws,ECS Container,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,Compute/AwsElasticContainerServiceContainer1
aws,ECS Task,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,Compute/AwsElasticContainerServiceTask
aws,ECS Service,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,Compute/AwsElasticContainerServiceService
aws,Elastic Kubernetes Service,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,Compute/AwsElasticKubernetesService
gcp,User,$GCP_GROUP_FONT_COLOR,#FFFFFF,0,solid,none,
gcp,Infrastructure System,$GCP_GROUP_FONT_COLOR,#F3E5F5,0,solid,none,
gcp,On premise,$GCP_GROUP_FONT_COLOR,#EFEBE9,0,solid,none,
gcp,System,$GCP_GROUP_FONT_COLOR,#F1F8E9,0,solid,none,
gcp,External SaaS Providers,$GCP_GROUP_FONT_COLOR,#FFEBEE,0,solid,none,
gcp,External Data Sources,$GCP_GROUP_FONT_COLOR,#FFF8E1,0,solid,none,
gcp,External infrastructure 3rd party,$GCP_GROUP_FONT_COLOR,#E0F2F1,0,solid,none,
gcp,External infrastructure 1st party,$GCP_GROUP_FONT_COLOR,#E1F5FE,0,solid,none,
gcp,Project Zone,$GCP_GROUP_FONT_COLOR,#F6F6F6,0,solid,none,
gcp,Cloud Service Provider,$GCP_GROUP_FONT_COLOR,#F6F6F6,0,solid,none,
gcp,Logical Grouping of Services,$GCP_GROUP_FONT_COLOR,#E3F2FD,0,solid,none,
gcp,Instances,$GCP_GROUP_FONT_COLOR,#E3F2FD,0,solid,none,
gcp,Zone,$GCP_GROUP_FONT_COLOR,#FFF3E0,0,solid,none,
gcp,Sub Network,$GCP_GROUP_FONT_COLOR,#EDE7F6,0,solid,none,
gcp,Kubernetes cluster,$GCP_GROUP_FONT_COLOR,#FCE4EC,0,solid,none,
gcp,Pod,$GCP_GROUP_FONT_COLOR,#E8F5E9,0,solid,none,
gcp,Account,$GCP_GROUP_FONT_COLOR,#E8EAF6,0,solid,none,
gcp,Region,$GCP_GROUP_FONT_COLOR,#ECEFF1,0,solid,none,
gcp,Firewall,$GCP_GROUP_FONT_COLOR,#FBE9E7,0,solid,none,
gcp,Instance Group,$GCP_GROUP_FONT_COLOR,#F9FBE7,0,solid,none,
