Name,FrontColor,FontColorTech,BackgroundColor,BorderThick,BorderStyle,BorderColor,Sprite
User,$COLOR_GREY_FC,$COLOR_GREY_FC,#FFFFFF,0,solid,transparent,
Infrastructure System,$COLOR_GREY_FC,$COLOR_GREY_FC,#F3E5F5,0,solid,transparent,
On premise,$COLOR_GREY_FC,$COLOR_GREY_FC,#EFEBE9,0,solid,transparent,
System,$COLOR_GREY_FC,$COLOR_GREY_FC,#F1F8E9,0,solid,transparent,
External SaaS Providers,$COLOR_GREY_FC,$COLOR_GREY_FC,#FFEBEE,0,solid,transparent,
External Data Sources,$COLOR_GREY_FC,$COLOR_GREY_FC,#FFF8E1,0,solid,transparent,
External infrastructure 3rd party,$COLOR_GREY_FC,$COLOR_GREY_FC,#E0F2F1,0,solid,transparent,
External infrastructure 1st party,$COLOR_GREY_FC,$COLOR_GREY_FC,#E1F5FE,0,solid,transparent,
Project Zone,$COLOR_GREY_FC,$COLOR_GREY_FC,#F6F6F6,0,solid,transparent,
Cloud Service Provider,$COLOR_GREY_FC,$COLOR_GREY_FC,#F6F6F6,0,solid,transparent,
Logical Grouping of Services,$COLOR_GREY_FC,$COLOR_GREY_FC,#E3F2FD,0,solid,transparent,
Instances,$COLOR_GREY_FC,$COLOR_GREY_FC,#E3F2FD,0,solid,transparent,
Zone,$COLOR_GREY_FC,$COLOR_GREY_FC,#FFF3E0,0,solid,transparent,
Sub Network,$COLOR_GREY_FC,$COLOR_GREY_FC,#EDE7F6,0,solid,transparent,
Kubernetes cluster,$COLOR_GREY_FC,$COLOR_GREY_FC,#FCE4EC,0,solid,transparent,
Pod,$COLOR_GREY_FC,$COLOR_GREY_FC,#E8F5E9,0,solid,transparent,
Account,$COLOR_GREY_FC,$COLOR_GREY_FC,#E8EAF6,0,solid,transparent,
Region,$COLOR_GREY_FC,$COLOR_GREY_FC,#ECEFF1,0,solid,transparent,
Firewall,$COLOR_GREY_FC,$COLOR_GREY_FC,#FBE9E7,0,solid,transparent,
Instance Group,$COLOR_GREY_FC,$COLOR_GREY_FC,#F9FBE7,0,solid,transparent,
Replica Pool,$COLOR_GREY_FC,$COLOR_GREY_FC,#E0F7FA,0,solid,transparent,
Optional Component,$COLOR_GREY_FC,$COLOR_GREY_FC,transparent,2,dashed,#4284F3,
