name,color
Analytics,$AWS_COLOR_PURPLE
AppIntegration,$AWS_COLOR_PINK
ApplicationIntegration,$AWS_COLOR_PINK
ArVr,$AWS_COLOR_PINK
Blockchain,$AWS_COLOR_ORANGE
BusinessApplication,$AWS_COLOR_RED
Compute,$AWS_COLOR_ORANGE
Containers,$AWS_COLOR_ORANGE
CostManagement,$AWS_COLOR_GREEN
CustomerEnablement,$AWS_COLOR_BLUE
CustomerEnagagement,$AWS_COLOR_BLUE
CustomerEngagement,$AWS_COLOR_BLUE
Database,$AWS_COLOR_BLUE
DeveloperTools,$AWS_COLOR_BLUE
EndUserComputing,$AWS_COLOR_TURQUOISE
GameTech,$AWS_COLOR_PURPLE
GeneralIcons,$AWS_COLOR_SQUID
InternetOfThings,$AWS_COLOR_GREEN
LoT,$AWS_COLOR_GREEN
MachineLearning,$AWS_COLOR_TURQUOISE
ManagementGovernance,$AWS_COLOR_PINK
MediaServices,$AWS_COLOR_ORANGE
MigrationAndTransfer,$AWS_COLOR_TURQUOISE
MigrationTransfer,$AWS_COLOR_TURQUOISE
Mobile,$AWS_COLOR_RED
NetworkingAndContentDelivery,$AWS_COLOR_PURPLE
NetworkingContent,$AWS_COLOR_PURPLE
QuantumTechnologies,$AWS_COLOR_ORANGE
Robotics,$AWS_COLOR_RED
Satellite,$AWS_COLOR_BLUE
SecurityIdentityAndCompliance,$AWS_COLOR_RED
SecurityIdentityCompliance,$AWS_COLOR_RED
Storage,$AWS_COLOR_GREEN
