name,frontColor,backgroundColor,borderThick,borderStyle,borderColor,icon
User,$GCP_FRONT,#FFFFFF,0,solid,none,
Infrastructure System,$GCP_FRONT,#F3E5F5,0,solid,none,
On premise,$GCP_FRONT,#EFEBE9,0,solid,none,
System,$GCP_FRONT,#F1F8E9,0,solid,none,
External SaaS Providers,$GCP_FRONT,#FFEBEE,0,solid,none,
External Data Sources,$GCP_FRONT,#FFF8E1,0,solid,none,
External infrastructure 3rd party,$GCP_FRONT,#E0F2F1,0,solid,none,
External infrastructure 1st party,$GCP_FRONT,#E1F5FE,0,solid,none,
Project Zone,$GCP_FRONT,#F6F6F6,0,solid,none,
Cloud Service Provider,$GCP_FRONT,#F6F6F6,0,solid,none,
Logical Grouping of Services,$GCP_FRONT,#E3F2FD,0,solid,none,
Instances,$GCP_FRONT,#E3F2FD,0,solid,none,
Zone,$GCP_FRONT,#FFF3E0,0,solid,none,
Sub Network,$GCP_FRONT,#EDE7F6,0,solid,none,
Kubernetes cluster,$GCP_FRONT,#FCE4EC,0,solid,none,
Pod,$GCP_FRONT,#E8F5E9,0,solid,none,
Account,$GCP_FRONT,#E8EAF6,0,solid,none,
Region,$GCP_FRONT,#ECEFF1,0,solid,none,
Firewall,$GCP_FRONT,#FBE9E7,0,solid,none,
Instance Group,$GCP_FRONT,#F9FBE7,0,solid,none,
Replica Pool,$GCP_FRONT,#E0F7FA,0,solid,none,
Optional Component,$GCP_FRONT,transparent,2,dashed,#4284F3,
