name,color
Analytics,$AWS_COLOR_PURPLE
AppIntegration,$AWS_COLOR_PINK
ApplicationIntegration,$AWS_COLOR_PINK
ArVr,$AWS_COLOR_PINK
AwsCostManagement,$AWS_COLOR_GREEN
Blockchain,$AWS_COLOR_ORANGE
BusinessApplication,$AWS_COLOR_RED
BusinessApplications,$AWS_COLOR_RED
Compute,$AWS_COLOR_ORANGE
Containers,$AWS_COLOR_ORANGE
CustomerEnablement,$AWS_COLOR_BLUE
CustomerEnagagement,$AWS_COLOR_BLUE
CustomerEngagement,$AWS_COLOR_BLUE
Database,$AWS_COLOR_BLUE
DeveloperTools,$AWS_COLOR_BLUE
EndUserComputing,$AWS_COLOR_TURQUOISE
FrontEndWebMobile,$AWS_COLOR_RED
GameTech,$AWS_COLOR_PURPLE
GeneralIcons,$AWS_COLOR_SQUID
InternetOfThings,$AWS_COLOR_GREEN
LoT,$AWS_COLOR_GREEN
MachineLearning,$AWS_COLOR_TURQUOISE
ManagementGovernance,$AWS_COLOR_PINK
MediaServices,$AWS_COLOR_ORANGE
MigrationAndTransfer,$AWS_COLOR_TURQUOISE
MigrationTransfer,$AWS_COLOR_TURQUOISE
NetworkingAndContentDelivery,$AWS_COLOR_PURPLE
NetworkingContent,$AWS_COLOR_PURPLE
NetworkingContentDelivery,$AWS_COLOR_PURPLE
QuantumTechnologies,$AWS_COLOR_ORANGE
Robotics,$AWS_COLOR_RED
Satellite,$AWS_COLOR_BLUE
SecurityIdentityAndCompliance,$AWS_COLOR_RED
SecurityIdentityCompliance,$AWS_COLOR_RED
Serverless,$AWS_COLOR_PURPLE
Storage,$AWS_COLOR_GREEN
