name,color,borderStyle
Solid,$FONT_COLOR,solid
Dashed,$FONT_COLOR,dashed
Dotted,$FONT_COLOR,dotted
SolidFrost10,$HOMECLOUD_NORD_10,solid
DashedFrost10,$HOMECLOUD_NORD_10,dashed
DottedFrost10,$HOMECLOUD_NORD_10,dotted
SolidAurora11,$HOMECLOUD_NORD_11,solid
DashedAurora11,$HOMECLOUD_NORD_11,dashed
DottedAurora11,$HOMECLOUD_NORD_11,dotted
SolidAurora12,$HOMECLOUD_NORD_12,solid
DashedAurora12,$HOMECLOUD_NORD_12,dashed
DottedAurora12,$HOMECLOUD_NORD_12,dotted
SolidAurora13,$HOMECLOUD_NORD_13,solid
DashedAurora13,$HOMECLOUD_NORD_13,dashed
DottedAurora13,$HOMECLOUD_NORD_13,dotted
SolidAurora14,$HOMECLOUD_NORD_14,solid
DashedAurora14,$HOMECLOUD_NORD_14,dashed
DottedAurora14,$HOMECLOUD_NORD_14,dotted
SolidAurora15,$HOMECLOUD_NORD_15,solid
DashedAurora15,$HOMECLOUD_NORD_15,dashed
DottedAurora15,$HOMECLOUD_NORD_15,dotted
