name,front_color,background_color,border_thick,border_style,border_color,icon_reference
User,$GCP_FRONT,#FFFFFF,0,solid,transparent,
Infrastructure System,$GCP_FRONT,#F3E5F5,0,solid,transparent,
On premise,$GCP_FRONT,#EFEBE9,0,solid,transparent,
System,$GCP_FRONT,#F1F8E9,0,solid,transparent,
External SaaS Providers,$GCP_FRONT,#FFEBEE,0,solid,transparent,
External Data Sources,$GCP_FRONT,#FFF8E1,0,solid,transparent,
External infrastructure 3rd party,$GCP_FRONT,#E0F2F1,0,solid,transparent,
External infrastructure 1st party,$GCP_FRONT,#E1F5FE,0,solid,transparent,
Project Zone,$GCP_FRONT,#F6F6F6,0,solid,transparent,
Cloud Service Provider,$GCP_FRONT,#F6F6F6,0,solid,transparent,
Logical Grouping of Services,$GCP_FRONT,#E3F2FD,0,solid,transparent,
Instances,$GCP_FRONT,#E3F2FD,0,solid,transparent,
Zone,$GCP_FRONT,#FFF3E0,0,solid,transparent,
Sub Network,$GCP_FRONT,#EDE7F6,0,solid,transparent,
Kubernetes cluster,$GCP_FRONT,#FCE4EC,0,solid,transparent,
Pod,$GCP_FRONT,#E8F5E9,0,solid,transparent,
Account,$GCP_FRONT,#E8EAF6,0,solid,transparent,
Region,$GCP_FRONT,#ECEFF1,0,solid,transparent,
Firewall,$GCP_FRONT,#FBE9E7,0,solid,transparent,
Instance Group,$GCP_FRONT,#F9FBE7,0,solid,transparent,
Replica Pool,$GCP_FRONT,#E0F7FA,0,solid,transparent,
Optional Component,$GCP_FRONT,transparent,2,dashed,#4284F3,
